date,open,high,low,close,volume,short,middle,long,bear_fractal,bull_fractal
2021-09-17 16:00:00,412.19,414.0,410.13,413.2,47860.71,412.19,413.22,416.01,True,False
2021-09-17 17:00:00,413.19,413.67,410.5,410.77,33792.87,411.62,412.73,415.45,False,False
2021-09-17 18:00:00,410.76,411.47,406.0,409.69,87245.78,410.85,412.12,414.85,False,False
2021-09-17 19:00:00,409.7,412.1,408.4,411.73,28269.97,411.2,412.04,414.52,False,False
2021-09-17 20:00:00,411.73,412.21,405.96,406.0,44641.85,409.12,410.83,413.62,True,False
2021-09-17 21:00:00,406.0,406.73,400.0,405.98,100863.78,407.86,409.86,412.82,False,True
2021-09-17 22:00:00,406.05,408.42,402.3,403.07,62815.24,405.94,408.5,411.79,False,False
2021-09-17 23:00:00,403.09,407.56,402.34,407.14,38875.13,406.42,408.23,411.3,False,False
2021-09-18 00:00:00,407.15,407.45,401.8,407.33,55186.25,406.78,408.05,410.88,False,True
2021-09-18 01:00:00,407.34,410.6,406.06,410.06,55286.36,408.09,408.45,410.79,False,False
2021-09-18 02:00:00,410.07,411.0,408.88,410.26,27463.02,408.96,408.81,410.74,False,False
2021-09-18 03:00:00,410.26,413.21,410.2,412.78,41697.93,410.48,409.6,410.95,False,False
2021-09-18 04:00:00,412.78,416.56,412.78,416.15,76104.62,412.75,410.91,411.5,False,False
2021-09-18 05:00:00,416.15,419.08,414.5,418.54,56089.03,415.06,412.44,412.24,False,False
2021-09-18 06:00:00,418.58,419.39,416.43,419.38,50136.34,416.79,413.82,412.99,False,False
2021-09-18 07:00:00,419.38,420.39,417.0,417.82,79126.33,417.2,414.62,413.5,True,False
2021-09-18 08:00:00,417.87,419.2,417.4,417.77,34712.52,417.43,415.25,413.95,False,False
2021-09-18 09:00:00,417.78,419.0,416.08,417.55,36982.73,417.47,415.71,414.33,False,False
2021-09-18 10:00:00,417.57,419.4,417.32,418.07,29417.02,417.71,416.18,414.72,True,False
2021-09-18 11:00:00,418.07,418.91,415.0,415.91,36158.64,416.99,416.13,414.84,False,False
2021-09-18 12:00:00,415.91,417.95,414.35,415.99,62187.6,416.59,416.1,414.96,False,True
2021-09-18 13:00:00,415.97,418.0,414.94,416.99,35484.16,416.75,416.27,415.18,False,False
2021-09-18 14:00:00,416.99,417.4,415.8,416.36,23677.29,416.59,416.29,415.3,False,False
2021-09-18 15:00:00,416.35,416.84,414.09,415.54,26161.62,416.17,416.14,415.33,False,False
2021-09-18 16:00:00,415.64,416.3,412.32,412.81,46789.02,414.82,415.47,415.06,False,False
2021-09-18 17:00:00,412.8,414.41,411.35,414.17,41573.65,414.56,415.21,414.97,False,False
2021-09-18 18:00:00,414.18,414.18,411.5,412.49,25783.19,413.73,414.67,414.71,False,False
2021-09-18 19:00:00,412.49,412.83,410.23,412.0,33016.37,413.04,414.13,414.42,False,False
2021-09-18 20:00:00,411.98,412.0,407.71,409.51,53352.01,411.62,413.21,413.9,False,True
2021-09-18 21:00:00,409.51,410.64,408.58,408.87,20399.92,410.52,412.34,413.37,False,False
2021-09-18 22:00:00,408.85,410.31,408.0,409.68,33565.66,410.18,411.81,412.98,False,False
2021-09-18 23:00:00,409.68,412.11,408.8,410.75,41885.83,410.41,411.59,412.75,True,False
2021-09-19 00:00:00,410.75,411.17,407.68,407.87,29071.44,409.39,410.85,412.23,False,False
2021-09-19 01:00:00,407.87,410.69,406.18,410.31,44394.01,409.76,410.74,412.03,False,True
2021-09-19 02:00:00,410.27,410.6,408.41,409.99,24068.5,409.85,410.59,411.82,False,False
2021-09-19 03:00:00,409.96,410.4,407.85,408.6,19500.56,409.35,410.19,411.48,False,False
2021-09-19 04:00:00,408.59,410.1,407.55,408.74,21642.42,409.1,409.9,411.19,False,True
2021-09-19 05:00:00,408.73,410.5,408.04,410.38,16707.72,409.61,409.99,411.1,False,False
2021-09-19 06:00:00,410.4,410.61,409.19,410.42,21877.38,409.93,410.08,411.03,False,False
2021-09-19 07:00:00,410.46,411.71,409.7,410.85,25887.53,410.3,410.23,411.01,False,False
2021-09-19 08:00:00,410.84,412.23,410.35,411.9,22883.13,410.94,410.56,411.1,False,False
2021-09-19 09:00:00,411.89,413.85,411.1,411.89,38523.07,411.32,410.83,411.19,True,False
2021-09-19 10:00:00,411.92,412.59,409.46,409.75,32034.42,410.69,410.61,411.03,False,False
2021-09-19 11:00:00,409.76,410.31,403.17,404.74,106014.56,408.31,409.44,410.37,False,True
2021-09-19 12:00:00,404.73,406.6,403.5,405.46,64551.99,407.17,408.64,409.85,False,False
2021-09-19 13:00:00,405.46,409.42,404.9,409.01,55836.55,407.9,408.71,409.76,False,False
2021-09-19 14:00:00,409.01,412.66,408.5,410.9,75216.79,409.1,409.15,409.88,False,False
2021-09-19 15:00:00,410.88,416.47,410.8,413.65,108691.78,410.92,410.05,410.28,False,False
2021-09-19 16:00:00,413.64,418.48,413.56,417.42,91592.99,413.52,411.52,411.03,False,False
2021-09-19 17:00:00,417.41,419.3,414.32,416.15,101986.59,414.57,412.45,411.57,True,False
2021-09-19 18:00:00,416.15,418.58,415.38,416.8,53271.56,415.46,413.32,412.12,False,False
2021-09-19 19:00:00,416.85,416.9,412.42,412.94,46749.04,414.45,413.24,412.2,False,False
2021-09-19 20:00:00,412.94,415.25,411.0,414.36,57282.81,414.41,413.46,412.43,False,False
2021-09-19 21:00:00,414.37,415.2,411.38,413.12,32259.48,413.89,413.39,412.5,False,False
2021-09-19 22:00:00,413.13,414.13,405.15,406.94,100119.68,411.11,412.1,411.92,False,False
2021-09-19 23:00:00,406.92,409.62,405.5,408.74,47524.25,410.16,411.43,411.58,False,False
2021-09-20 00:00:00,408.77,409.99,401.68,403.79,114960.37,407.61,409.9,410.76,False,False
2021-09-20 01:00:00,403.79,407.94,402.52,407.09,52643.05,407.4,409.34,410.37,False,False
2021-09-20 02:00:00,407.1,407.1,393.68,393.93,200750.06,402.01,406.25,408.64,False,False
2021-09-20 03:00:00,393.92,395.71,384.62,391.16,211786.2,397.67,403.23,406.8,False,True
2021-09-20 04:00:00,391.14,394.39,386.86,392.31,101338.36,395.52,401.05,405.28,False,False
2021-09-20 05:00:00,392.32,394.35,390.9,392.83,54415.67,394.44,399.4,403.97,False,False
2021-09-20 06:00:00,392.82,394.3,389.35,391.33,59092.17,393.2,397.79,402.63,False,False
2021-09-20 07:00:00,391.34,393.37,376.49,382.38,230236.63,388.87,394.71,400.5,False,True
2021-09-20 08:00:00,382.37,386.79,380.0,385.94,109476.27,387.69,392.95,398.97,False,False
2021-09-20 09:00:00,385.96,386.54,381.22,381.79,62603.28,385.33,390.72,397.16,False,False
2021-09-20 10:00:00,381.8,387.19,378.0,381.11,162119.16,383.64,388.8,395.47,True,False
2021-09-20 11:00:00,381.1,381.87,362.26,368.99,412441.43,377.78,384.83,392.68,False,False
2021-09-20 12:00:00,368.98,373.0,353.42,368.12,410327.37,373.91,381.49,390.1,False,True
2021-09-20 13:00:00,368.11,374.5,363.75,373.95,232411.63,373.93,379.98,388.4,False,False
2021-09-20 14:00:00,373.93,374.16,368.67,370.82,114569.48,372.68,378.15,386.55,False,False
2021-09-20 15:00:00,370.82,374.58,367.64,370.97,108030.53,371.99,376.71,384.91,False,False
2021-09-20 16:00:00,370.98,374.65,366.7,370.83,149009.92,371.53,375.53,383.42,True,False
2021-09-20 17:00:00,370.84,374.47,370.35,372.94,65119.95,372.09,375.01,382.32,False,False
2021-09-20 18:00:00,372.94,373.89,364.48,366.03,98967.11,369.66,373.22,380.6,False,False
2021-09-20 19:00:00,366.15,369.23,361.21,368.43,126223.74,369.17,372.26,379.32,False,True
2021-09-20 20:00:00,368.43,369.58,362.81,365.38,73359.12,367.65,370.88,377.85,False,False
2021-09-20 21:00:00,365.43,369.2,364.2,366.35,48586.61,367.13,369.97,376.64,False,False
2021-09-20 22:00:00,366.36,371.61,362.82,364.43,75052.14,366.05,368.86,375.36,True,False
2021-09-20 23:00:00,364.49,366.71,358.64,364.15,135773.14,365.29,367.92,374.18,False,False
2021-09-21 00:00:00,364.2,364.48,342.68,351.11,407198.85,359.61,364.56,371.75,False,True
2021-09-21 01:00:00,351.1,363.18,350.31,362.8,112447.46,360.89,364.2,370.81,False,False
2021-09-21 02:00:00,362.8,367.2,361.13,365.85,89916.81,362.87,364.53,370.28,False,False
2021-09-21 03:00:00,365.86,367.21,362.44,363.69,72804.0,363.2,364.36,369.59,True,False
2021-09-21 04:00:00,363.69,366.28,359.52,360.86,73043.48,362.26,363.66,368.67,False,False
2021-09-21 05:00:00,360.87,362.13,356.55,360.34,71721.78,361.49,363.0,367.79,False,True
2021-09-21 06:00:00,360.38,366.82,360.36,365.52,79832.54,363.1,363.5,367.55,False,False
2021-09-21 07:00:00,365.5,369.96,364.47,369.87,69327.97,365.81,364.77,367.8,False,False
2021-09-21 08:00:00,369.87,372.55,367.73,371.67,80475.45,368.15,366.15,368.2,False,False
2021-09-21 09:00:00,371.64,373.44,369.21,370.42,62170.74,369.06,367.0,368.44,False,False
2021-09-21 10:00:00,370.41,374.26,368.71,373.38,68375.06,370.78,368.28,368.96,False,False
2021-09-21 11:00:00,373.38,375.52,371.31,372.24,74796.0,371.36,369.07,369.3,True,False
2021-09-21 12:00:00,372.25,375.12,370.1,370.12,105213.31,370.86,369.28,369.39,False,False
2021-09-21 13:00:00,370.13,372.86,367.22,369.44,100561.88,370.29,369.31,369.39,False,False
2021-09-21 14:00:00,369.41,370.12,362.0,365.5,139684.81,368.37,368.55,368.98,False,True
2021-09-21 15:00:00,365.49,370.27,364.84,369.71,98065.47,368.91,368.78,369.06,False,False
2021-09-21 16:00:00,369.72,370.44,362.21,362.91,101140.37,366.51,367.6,368.41,True,False
2021-09-21 17:00:00,362.92,363.82,356.56,357.87,135123.17,363.05,365.66,367.3,False,False
2021-09-21 18:00:00,357.87,363.22,357.17,359.04,115897.88,361.44,364.33,366.43,False,False
2021-09-21 19:00:00,359.02,360.75,355.08,356.98,68737.86,359.66,362.86,365.43,False,False
2021-09-21 20:00:00,356.99,358.69,345.84,347.35,163245.2,354.73,359.76,363.53,False,False
2021-09-21 21:00:00,347.38,354.92,335.72,351.84,251117.83,353.57,358.17,362.3,False,True
2021-09-21 22:00:00,351.89,355.23,344.45,345.41,131450.02,350.31,355.62,360.52,False,False
2021-09-21 23:00:00,345.44,348.62,342.05,344.26,135856.05,347.89,353.35,358.81,False,False
2021-09-22 00:00:00,344.33,351.69,341.89,346.72,127024.74,347.42,352.02,357.54,False,True
2021-09-22 01:00:00,346.73,356.07,344.17,354.59,137364.86,350.28,352.53,357.23,False,False
2021-09-22 02:00:00,354.59,355.16,352.02,352.91,56592.6,351.33,352.61,356.77,False,False
